ip,system,qid,count
1.50244E+11,ask,17,1
1.50244E+11,ask,22,10
15024419972,ask,41,4
15024419956,ask,50,1
1.50244E+11,ask,58,3
1.50244E+11,ask,89,2
15024419956,ask,94,1
1.50244E+11,ask,105,1
15024419956,ask,107,1
1.50244E+11,ask,114,2
1.50244E+11,ask,115,3
1.50244E+11,ask,124,11
1.50244E+11,ask,125,4
1.95135E+11,ask,138,2
15024419997,ask,147,5
1.50244E+11,ask,173,2
1.50244E+11,ask,175,2
1.50244E+11,ask,195,2
1.50244E+11,ask,209,3
1.50244E+11,ask,210,2
1.50244E+11,ask,212,1
1.50244E+11,ask,217,2
15024419997,ask,222,3
1.50244E+11,ask,236,2
15024419972,ask,241,3
15024419956,ask,242,1
15024419997,ask,246,1
15024419999,ask,250,1
15024419999,ask,262,1
1.50244E+11,ask,263,1
15024419910,ask,269,1
1.50244E+11,ask,277,3
15024419997,ask,287,2
15024419932,ask,299,1
1.50244E+11,ask,315,5
1.50244E+11,ask,317,2
15024419956,ask,332,1
1.50244E+11,ask,345,3
1.50244E+11,ask,352,2
1.50244E+11,ask,361,1
1.50244E+11,ask,368,2
1.50244E+11,ask,373,4
1.50244E+11,ask,379,1
1.50244E+11,ask,382,1
1.50244E+11,ask,397,1
1.50244E+11,ask,398,2
1.50244E+11,ask,407,1
1.50244E+11,ask,411,10
1.50244E+11,ask,420,1
1.50244E+11,ask,430,2
15024419932,ask,26,0
15024419932,ask,40,0
176838989,ask,80,0
1.50244E+11,ask,102,0
15024419932,ask,111,0
1.50244E+11,ask,150,0
1.50244E+11,ask,163,0
1.50244E+11,ask,180,0
95127170164,ask,198,0
1.50244E+11,ask,206,0
1.50244E+11,ask,211,0
1.50244E+11,ask,214,0
95127170164,ask,290,0
1.50244E+11,ask,298,0
1.50244E+11,ask,318,0
1.50244E+11,ask,319,0
1.50244E+11,ask,346,0
1.50244E+11,ask,363,0
95127170164,ask,375,0
1.50244E+11,ask,389,0
1.50244E+11,ask,405,0
1.50244E+11,ask,406,0
15024419910,ask,410,0
1.50244E+11,ask,425,0
1.50244E+11,ask,444,0
176838989,ask,449,0
1.50244E+11,ask,458,0
15024419956,ask,460,0
15024419956,ask,462,0
1.50244E+11,ask,464,0
