ip,system,qid,count
15024419956,bing,56,1
1.50244E+11,bing,141,1
15024419910,bing,187,2
8913089159,bing,1,0
15024419972,bing,4,0
1.50244E+11,bing,8,0
1.50244E+11,bing,10,0
1.50244E+11,bing,15,0
1.50244E+11,bing,16,0
1.50244E+11,bing,19,0
15024419932,bing,29,0
15024419932,bing,30,0
15024419932,bing,31,0
1.50244E+11,bing,32,0
1.50244E+11,bing,33,0
1.50244E+11,bing,39,0
15024419910,bing,52,0
95127170164,bing,55,0
1.50244E+11,bing,62,0
176838989,bing,66,0
1.50244E+11,bing,76,0
176838989,bing,77,0
3710149120,bing,82,0
1.50244E+11,bing,84,0
15024419972,bing,88,0
1.50244E+11,bing,90,0
95127170164,bing,95,0
15024419932,bing,104,0
15024419932,bing,108,0
1.50244E+11,bing,112,0
1.50244E+11,bing,118,0
1.50244E+11,bing,121,0
1.50244E+11,bing,123,0
15024419932,bing,127,0
1.50244E+11,bing,128,0
1.50244E+11,bing,132,0
15024419997,bing,142,0
1.50244E+11,bing,143,0
1.50244E+11,bing,146,0
1.50244E+11,bing,148,0
1.50244E+11,bing,151,0
176838989,bing,154,0
1.50244E+11,bing,159,0
1.50244E+11,bing,161,0
15024419956,bing,164,0
3710149120,bing,165,0
1.50244E+11,bing,170,0
15024419972,bing,172,0
1.50244E+11,bing,190,0
1.50244E+11,bing,197,0
1.50244E+11,bing,204,0
1.50244E+11,bing,207,0
1.50244E+11,bing,216,0
1.50244E+11,bing,220,0
1.95135E+11,bing,227,0
1.50244E+11,bing,231,0
1.50244E+11,bing,235,0
1.50244E+11,bing,237,0
15024419997,bing,244,0
1.50244E+11,bing,258,0
176838989,bing,274,0
176838989,bing,275,0
176838989,bing,278,0
1.50244E+11,bing,286,0
1.50244E+11,bing,293,0
1.50244E+11,bing,294,0
1.50244E+11,bing,300,0
15024419956,bing,310,0
15024419910,bing,311,0
1.50244E+11,bing,312,0
15024419956,bing,313,0
1.50244E+11,bing,321,0
15024419910,bing,322,0
15024419910,bing,324,0
1.50244E+11,bing,328,0
1.50244E+11,bing,330,0
1.50244E+11,bing,344,0
1.50244E+11,bing,356,0
1.50244E+11,bing,362,0
95127170164,bing,367,0
1.50244E+11,bing,380,0
1.50244E+11,bing,387,0
1.50244E+11,bing,393,0
1.50244E+11,bing,396,0
1.50244E+11,bing,402,0
15024419956,bing,413,0
15024419910,bing,417,0
1.50244E+11,bing,418,0
15024419910,bing,429,0
1.50244E+11,bing,433,0
1.50244E+11,bing,434,0
1.50244E+11,bing,435,0
1.50244E+11,bing,439,0
1.50244E+11,bing,440,0
15024419910,bing,450,0
15024419956,bing,465,0
