ip,system,qid,count
15024419999,duckduckgo,2,2
1.50244E+11,duckduckgo,7,1
1.50244E+11,duckduckgo,9,2
1.50244E+11,duckduckgo,12,5
1.50244E+11,duckduckgo,36,2
3710149120,duckduckgo,38,1
1.95135E+11,duckduckgo,47,4
15024419932,duckduckgo,48,1
95127170164,duckduckgo,49,1
1.50244E+11,duckduckgo,51,2
15024419910,duckduckgo,54,3
1.50244E+11,duckduckgo,71,1
1.50244E+11,duckduckgo,72,2
15024419910,duckduckgo,73,1
1.50244E+11,duckduckgo,83,3
15024419910,duckduckgo,86,1
15024419972,duckduckgo,92,2
1.50244E+11,duckduckgo,93,2
95127170164,duckduckgo,96,3
1.95135E+11,duckduckgo,101,4
15024419910,duckduckgo,103,1
15024419956,duckduckgo,120,1
1.50244E+11,duckduckgo,122,1
3710149120,duckduckgo,130,1
1.50244E+11,duckduckgo,131,2
1.50244E+11,duckduckgo,136,2
1.50244E+11,duckduckgo,155,1
95127170164,duckduckgo,156,1
15024419932,duckduckgo,162,2
15024419972,duckduckgo,174,3
1.50244E+11,duckduckgo,179,3
95127170164,duckduckgo,182,1
1.50244E+11,duckduckgo,185,2
1.95135E+11,duckduckgo,191,1
95127170164,duckduckgo,194,1
1.50244E+11,duckduckgo,196,2
15024419956,duckduckgo,201,2
176838989,duckduckgo,203,4
1.50244E+11,duckduckgo,213,2
1.50244E+11,duckduckgo,229,1
1.95135E+11,duckduckgo,230,3
15024419910,duckduckgo,245,2
1.50244E+11,duckduckgo,248,1
15024419932,duckduckgo,252,1
1.50244E+11,duckduckgo,255,2
1.50244E+11,duckduckgo,256,1
1.50244E+11,duckduckgo,268,3
95127170164,duckduckgo,270,1
1.50244E+11,duckduckgo,271,2
15024419956,duckduckgo,273,1
15024419910,duckduckgo,279,1
1.50244E+11,duckduckgo,280,2
1.50244E+11,duckduckgo,289,1
15024419910,duckduckgo,292,2
1.50244E+11,duckduckgo,297,1
1.50244E+11,duckduckgo,301,3
15024419997,duckduckgo,302,4
1.50244E+11,duckduckgo,306,1
1.50244E+11,duckduckgo,336,1
1.50244E+11,duckduckgo,337,1
15024419910,duckduckgo,364,2
95127170164,duckduckgo,370,2
15024419972,duckduckgo,376,2
176838989,duckduckgo,378,5
1.50244E+11,duckduckgo,385,1
1.95135E+11,duckduckgo,408,6
1.50244E+11,duckduckgo,414,2
15024419910,duckduckgo,419,1
1.50244E+11,duckduckgo,428,1
15024419954,duckduckgo,437,2
1.50244E+11,duckduckgo,438,3
1.50244E+11,duckduckgo,451,1
176838989,duckduckgo,457,1
1.50244E+11,duckduckgo,459,1
1.50244E+11,duckduckgo,35,0
1.50244E+11,duckduckgo,37,0
1.50244E+11,duckduckgo,78,0
1.50244E+11,duckduckgo,157,0
176838989,duckduckgo,158,0
1.50244E+11,duckduckgo,160,0
1.50244E+11,duckduckgo,171,0
1.50244E+11,duckduckgo,224,0
1.50244E+11,duckduckgo,257,0
15024419972,duckduckgo,281,0
15024419997,duckduckgo,285,0
1.50244E+11,duckduckgo,288,0
1.50244E+11,duckduckgo,291,0
1.50244E+11,duckduckgo,296,0
1.50244E+11,duckduckgo,335,0
1.50244E+11,duckduckgo,348,0
1.50244E+11,duckduckgo,357,0
15024419910,duckduckgo,426,0
176838989,duckduckgo,442,0
1.50244E+11,duckduckgo,452,0
1.50244E+11,duckduckgo,456,0
1.50244E+11,duckduckgo,461,0
