ip,system,qid,count
1.50244E+11,google+bing,5,1
1.50244E+11,google+bing,11,1
15024419910,google+bing,18,6
15024419999,google+bing,20,1
1.50244E+11,google+bing,23,3
15024419956,google+bing,25,3
1.50244E+11,google+bing,28,1
1.50244E+11,google+bing,44,4
1.50244E+11,google+bing,45,1
95127170164,google+bing,59,1
3710149120,google+bing,60,1
1.50244E+11,google+bing,65,4
1.50244E+11,google+bing,67,4
95127170164,google+bing,69,1
176838989,google+bing,70,2
95127170164,google+bing,74,1
1.50244E+11,google+bing,75,6
1.95135E+11,google+bing,81,1
1.50244E+11,google+bing,87,6
15024419954,google+bing,91,8
1.50244E+11,google+bing,109,1
1.50244E+11,google+bing,129,6
15024419972,google+bing,133,3
15024419999,google+bing,137,2
1.50244E+11,google+bing,140,3
176838989,google+bing,145,2
1.50244E+11,google+bing,149,1
15024419956,google+bing,168,1
1.50244E+11,google+bing,169,3
176838989,google+bing,176,2
176838989,google+bing,184,2
15024419972,google+bing,193,3
15024419954,google+bing,202,8
1.50244E+11,google+bing,215,2
1.50244E+11,google+bing,219,2
1.50244E+11,google+bing,225,4
176838989,google+bing,228,3
1.50244E+11,google+bing,234,2
1.50244E+11,google+bing,240,2
1.50244E+11,google+bing,247,3
95127170164,google+bing,253,1
1.50244E+11,google+bing,272,1
15024419972,google+bing,282,3
1.50244E+11,google+bing,284,4
1.50244E+11,google+bing,295,6
15024419956,google+bing,308,1
1.50244E+11,google+bing,309,1
1.50244E+11,google+bing,316,1
15024419954,google+bing,326,3
176838989,google+bing,334,3
1.50244E+11,google+bing,340,5
95127170164,google+bing,341,2
1.50244E+11,google+bing,342,1
1.50244E+11,google+bing,350,3
1.50244E+11,google+bing,353,2
1.50244E+11,google+bing,358,7
1.95135E+11,google+bing,359,5
1.50244E+11,google+bing,360,2
1.50244E+11,google+bing,365,1
15024419997,google+bing,372,4
15024419956,google+bing,381,1
1.50244E+11,google+bing,388,2
15024419910,google+bing,390,1
15024419972,google+bing,392,1
1.50244E+11,google+bing,394,1
15024419910,google+bing,395,1
176838989,google+bing,409,2
1.50244E+11,google+bing,423,2
15024419910,google+bing,436,1
1.50244E+11,google+bing,441,2
176838989,google+bing,447,1
1.50244E+11,google+bing,448,1
176838989,google+bing,454,3
1.50244E+11,google+bing,43,0
176838989,google+bing,98,0
1.50244E+11,google+bing,200,0
1.50244E+11,google+bing,233,0
15024419932,google+bing,249,0
15024419999,google+bing,261,0
1.50244E+11,google+bing,264,0
15024419997,google+bing,266,0
1.50244E+11,google+bing,333,0
95127170164,google+bing,347,0
1.50244E+11,google+bing,384,0
1.50244E+11,google+bing,386,0
1.50244E+11,google+bing,403,0
15024419997,google+bing,443,0
