ip,system,qid,count
1.50244E+11,google,3,3
15024419972,google,6,9
1.50244E+11,google,13,5
1.50244E+11,google,14,6
1.50244E+11,google,24,3
1.50244E+11,google,27,3
1.50244E+11,google,42,3
1.50244E+11,google,46,4
176838989,google,53,4
1.50244E+11,google,57,2
15024419956,google,61,1
1.50244E+11,google,63,5
1.50244E+11,google,64,1
1.50244E+11,google,68,1
1.50244E+11,google,85,1
176838989,google,97,4
15024419997,google,99,2
1.50244E+11,google,100,1
95127170164,google,113,2
1.50244E+11,google,117,2
15024419910,google,119,2
176838989,google,126,2
95127170164,google,135,1
1.50244E+11,google,139,2
176838989,google,144,2
15024419910,google,153,1
15024419956,google,167,2
1.50244E+11,google,177,4
1.50244E+11,google,181,3
1.50244E+11,google,183,2
1.50244E+11,google,186,2
1.50244E+11,google,188,2
1.50244E+11,google,192,2
95127170164,google,199,1
15024419997,google,205,1
15024419910,google,208,2
15024419932,google,218,1
95127170164,google,221,1
1.50244E+11,google,226,4
1.50244E+11,google,232,5
1.50244E+11,google,238,1
1.50244E+11,google,239,1
1.50244E+11,google,243,2
1.50244E+11,google,259,9
1.50244E+11,google,260,2
15024419997,google,265,1
1.95135E+11,google,267,1
1.50244E+11,google,283,1
1.50244E+11,google,303,2
1.50244E+11,google,304,1
15024419954,google,307,1
15024419910,google,314,1
15024419956,google,320,1
1.95135E+11,google,323,3
15024419910,google,325,1
95127170164,google,329,1
1.50244E+11,google,331,2
1.50244E+11,google,343,1
15024419910,google,349,2
1.50244E+11,google,354,1
1.50244E+11,google,355,5
1.50244E+11,google,369,1
176838989,google,371,2
1.50244E+11,google,374,5
15024419954,google,377,7
1.50244E+11,google,383,1
15024419972,google,391,2
1.50244E+11,google,399,1
1.50244E+11,google,400,1
1.50244E+11,google,412,1
15024419956,google,415,1
1.50244E+11,google,416,1
15024419999,google,421,1
176838989,google,422,2
1.50244E+11,google,427,2
1.50244E+11,google,431,1
1.50244E+11,google,445,3
176838989,google,446,1
176838989,google,453,1
15024419932,google,21,0
15024419932,google,34,0
1.50244E+11,google,79,0
95127170164,google,106,0
3710149120,google,110,0
15024419932,google,116,0
1.50244E+11,google,134,0
1.50244E+11,google,152,0
1.50244E+11,google,166,0
1.50244E+11,google,178,0
1.50244E+11,google,189,0
1.50244E+11,google,223,0
15024419932,google,251,0
1.50244E+11,google,254,0
1.50244E+11,google,276,0
1.50244E+11,google,305,0
15024419999,google,327,0
95127170164,google,338,0
1.50244E+11,google,339,0
1.50244E+11,google,351,0
1.50244E+11,google,366,0
1.50244E+11,google,401,0
1.50244E+11,google,404,0
1.50244E+11,google,424,0
15024419997,google,432,0
15024419999,google,455,0
1.50244E+11,google,463,0
15024419954,google,466,0
