documento,aficionado,clausula,cobra,convenio,cuanto,deporte,division,elite,español,futbol,honor,jugador,mensual,mileurista,minimo,prima,profesional,renombre,sala,salario
d1,0,4,1,0,0,2,1,1,3,16,0,9,4,1,3,0,5,0,11,4
d2,1,0,1,3,3,1,1,0,1,10,1,4,3,0,5,1,4,1,9,7
d3,0,0,0,0,6,5,0,0,7,37,0,23,1,0,1,0,3,0,11,5
d4,1,0,1,5,6,6,0,0,1,19,2,19,1,0,2,0,2,1,25,7
d5,0,0,4,0,16,2,5,0,1,8,0,9,2,0,4,2,2,0,0,5
d6,0,0,9,0,24,0,9,2,29,35,0,26,1,0,5,0,5,0,0,5
d7,0,0,1,0,1,0,5,0,0,23,0,7,1,0,0,0,2,0,1,0
d8,0,0,7,0,6,3,4,0,9,26,0,9,2,0,3,0,2,0,1,4
d9,0,0,6,3,1,0,7,0,3,15,0,11,6,0,6,4,11,0,0,4
d10,0,0,3,3,2,0,4,0,3,7,0,3,1,0,6,2,2,0,0,4
d11,0,1,5,1,2,2,2,0,2,21,0,11,0,0,0,0,3,0,3,3
d12,2,0,7,1,2,3,12,2,7,21,0,6,4,0,0,0,4,0,2,4
d13,0,1,1,0,2,1,0,0,1,4,0,4,0,0,0,1,7,0,1,7
d14,0,0,6,0,1,0,1,0,2,3,0,5,0,0,1,0,0,0,0,0
d15,0,0,15,0,5,1,1,1,0,19,0,17,1,0,0,0,4,0,7,2
d16,2,0,0,0,2,5,0,0,0,1,0,11,1,0,0,0,1,0,1,5
d17,2,0,0,0,1,7,0,0,0,2,0,11,1,0,0,0,1,0,1,5
d18,0,0,1,3,1,1,4,0,3,15,0,7,0,0,7,0,2,0,1,6
d19,1,0,0,1,1,6,0,0,1,11,0,5,0,0,0,0,1,1,9,1
d20,0,0,5,0,4,5,2,0,5,39,0,3,0,0,1,0,0,0,23,2
