url,documento,aficionado,clausula,cobra,convenio,cuanto,deporte,division,elite,español,futbol,honor,jugador,mensual,mileurista,minimo,prima,profesional,renombre,sala,salario
https://sacandodebanda.com/2019/10/16/salarios-clausulas-futbol-sala/,d1,0,4,1,0,0,2,1,1,3,16,0,9,4,1,3,0,5,0,11,4
https://www.saberia.com/cuanto-cobra-un-jugador-de-futbol-sala/,d2,1,0,1,3,3,1,1,0,1,10,1,4,3,0,5,1,4,1,9,7
https://bonosdeapuesta.com/apuestas/cuanto-gana-un-jugador-de-futbol-sala/,d3,0,0,0,0,6,5,0,0,7,37,0,23,1,0,1,0,3,0,11,5
https://cuanto.top/gana/jugador-futbol-sala/,d4,1,0,1,5,6,6,0,0,1,19,2,19,1,0,2,0,2,1,25,7
https://es.calcuworld.com/cuantos/cuanto-gana-un-jugador-de-futbol/,d5,0,0,4,0,16,2,5,0,1,8,0,9,2,0,4,2,2,0,0,5
https://es.quora.com/Cu%C3%A1nto-gana-o-cobra-un-jugador-de-f%C3%BAtbol-de-2B-en-Espa%C3%B1a,d6,0,0,9,0,24,0,9,2,29,35,0,26,1,0,5,0,5,0,0,5
https://futboljobs.com/blog/cuanto-cobra-un-jugador-de-futbol-de-tercera-division/,d7,0,0,1,0,1,0,5,0,0,23,0,7,1,0,0,0,2,0,1,0
https://futboljobs.com/pt/blog/cuanto-gana-un-jugador-de-futbol-en-espana/,d8,0,0,7,0,6,3,4,0,9,26,0,9,2,0,3,0,2,0,1,4
https://sueldospublicos.economiadigital.es/texto-diario/mostrar/554504/salario-minimo-futbolistas-primera-segunda-division,d9,0,0,6,3,1,0,7,0,3,15,0,11,6,0,6,4,11,0,0,4
https://www.abc.es/economia/20141112/abci-cuanto-cobra-futbolista-espana-201411112140.html,d10,0,0,3,3,2,0,4,0,3,7,0,3,1,0,6,2,2,0,0,4
https://www.cuatro.com/deportes/futbol/cuanto-cobra-jugadora-profesional-futbol-salario-be5m_18_3057345368.html,d11,0,1,5,1,2,2,2,0,2,21,0,11,0,0,0,0,3,0,3,3
https://www.cuatro.com/deportes/futbol/liga/sueldo-arbitros-primera-division-futbol-be5m_18_2961270028.html,d12,2,0,7,1,2,3,12,2,7,21,0,6,4,0,0,0,4,0,2,4
https://www.culemania.com/palco/todos-salarios-deportistas-profesionales-barca_332091_102.html,d13,0,1,1,0,2,1,0,0,1,4,0,4,0,0,0,1,7,0,1,7
https://www.estrelladigital.es/articulo/futbol/cuanto-gana-jugador-mas-humilde-primera/20141012204158213232.html,d14,0,0,6,0,1,0,1,0,2,3,0,5,0,0,1,0,0,0,0,0
https://www.forocoches.com/foro/showthread.php?t=2757667,d15,0,0,15,0,5,1,1,1,0,19,0,17,1,0,0,0,4,0,7,2
https://www.forocoches.com/foro/showthread.php?t=3524711,d16,2,0,3,0,3,1,0,0,0,9,0,9,1,0,0,0,5,0,5,0
https://www.futsalcorner.es/la-columna/cifras-numeros-futsal/,d17,2,0,0,0,1,7,0,0,0,2,0,11,1,0,0,0,1,0,1,5
https://www.marca.com/futbol/futbol-femenino/2019/02/08/5c5dbfe546163f4c358b45e5.html,d18,0,0,1,3,1,1,4,0,3,15,0,7,0,0,7,0,2,0,1,6
https://www.merca2.es/sueldos-jugadores-futbol-sala/,d19,1,0,0,1,1,6,0,0,1,11,0,5,0,0,0,0,1,1,9,1
https://www.todoparaarbitros.com/cuanto-cobra-un-arbitro-de-futbol-sala/,d20,0,0,5,0,4,5,2,0,5,39,0,3,0,0,1,0,0,0,23,2
